FID,SLOPE,SPI,TWI,ELEV,LON,LAT
0,3.438615,0.62324,13.249945,1.0,76.3501,10.1319
1,1.181183,0.03706,12.564665,6.000013,76.3531,10.1309
2,0.191889,0.018997,15.531115,8.000247,76.3415,10.1261
3,1.261212,0.129855,13.687425,8.000238,76.342,10.1261
4,2.963264,0.321347,12.885092,8.000229,76.3424,10.1261
5,1.291579,0.052327,12.730937,8.000247,76.3415,10.1256
6,2.980527,0.119845,11.887155,8.000251,76.3411,10.1255
7,3.998598,0.001218,6.710509,9.0,76.3463,10.1285
8,1.213801,0.091696,13.416125,7.000049,76.3467,10.1286
9,2.246038,0.172414,12.816714,7.000045,76.3471,10.1285
10,0.383752,0.119001,15.979807,8.000094,76.3508,10.1242
11,0.140121,0.045457,17.032426,8.000089,76.3512,10.1242
12,0.301457,9.1e-05,9.29558,8.000107,76.3505,10.1218
13,2.222298,0.088003,12.165446,9.0,76.3502,10.1215
14,0.339094,0.175599,16.616313,8.000017,76.3541,10.1199
15,2.6e-05,1.3e-05,26.032014,8.000026,76.354,10.1205
16,1.049825,0.040613,12.892017,11.000206,76.3387,10.1181
17,2.204901,0.100076,12.309717,11.000202,76.3392,10.1181
18,4.330267,0.414189,12.380216,-4.0,76.3545,10.1173
19,0.979295,0.086211,13.783802,0.0,76.3545,10.1168
20,0.468617,0.053816,14.786667,11.000193,76.341,10.1158
21,1.506859,0.175343,13.631847,11.000175,76.3408,10.1162
22,0.594433,0.024082,13.50695,11.00017,76.3407,10.1166
23,1.771176,0.20664,13.472845,11.00017,76.3408,10.1165
24,0.383743,0.066162,15.392828,8.000184,76.3452,10.1253
25,0.387602,0.066946,15.384587,8.000179,76.3456,10.1253
26,0.387618,0.067184,15.388069,8.00017,76.346,10.1253
27,0.383729,0.066627,15.399907,8.000166,76.3464,10.1253
28,1.030252,0.000627,8.759797,11.000035,76.3379,10.1213
29,0.438457,0.13463,15.836669,11.000035,76.3383,10.1214
30,0.462192,0.139806,15.768959,11.000044,76.3387,10.1214
31,0.512091,0.153808,15.659361,11.000049,76.3392,10.1214
32,0.282457,0.084664,16.252305,11.000058,76.3396,10.1214
33,0.274083,0.0799,16.254581,11.000067,76.3401,10.1214
